datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2022/05/06 17:32:00,AQUA_M-T,Brasil,SAO PAULO,PEDREGULHO,Cerrado,,,,-20.15212,-47.33128,34.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.61587,-56.43761,13.5
2022/05/06 17:41:00,AQUA_M-T,Venezuela,Monagas,Piar,,,,,10.06697,-63.42205,7.7
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.61643,-56.50438,10.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.61725,-56.44697,24.8
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.6178,-56.51369,8.9
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,,,,-12.09675,-54.51088,22.5
2022/05/06 17:32:00,AQUA_M-T,Brasil,SAO PAULO,PEDREGULHO,Cerrado,,,,-20.15357,-47.32368,75.5
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,,,-13.62629,-56.44556,22
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Cerrado,,,,-14.01495,-54.67583,132.1
2022/05/06 17:34:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Cerrado,,,,-14.01658,-54.68654,36.2
